"invoice_id","hs_customer","invoice_total","invoice_time","ticket_id","job_type","ticket_date","Ticket_Item_Type","details"
"337854","45","28500.00","1569891038","1916816","Special Projects","1569257433","job_description","2011"
"337854","45","28500.00","1569891038","1916804","Special Projects","1569257353","job_description","2010"
"337854","45","28500.00","1569891038","1935017","Special Projects","1569880791","price_per_bbl","28000.00"
"337854","45","28500.00","1569891038","1935017","Special Projects","1569880791","price_per_hour","28000.00"
"337854","45","28500.00","1569891038","1935017","Special Projects","1569880791","bill_loads","1"
"337854","45","28500.00","1569891038","1916816","Special Projects","1569257433","price_per_bbl","0"
"337854","45","28500.00","1569891038","1916816","Special Projects","1569257433","price_per_hour",
"337854","45","28500.00","1569891038","1935017","Special Projects","1569880791","price_per_load","28000.00"
"337854","45","28500.00","1569891038","1916816","Special Projects","1569257433","bill_loads","1"
"337854","45","28500.00","1569891038","1916804","Special Projects","1569257353","price_per_bbl","500.00"
"337854","45","28500.00","1569891038","1935017","Special Projects","1569880791","bill_type","1"
"337854","45","28500.00","1569891038","1916804","Special Projects","1569257353","price_per_hour","500.00"
"337854","45","28500.00","1569891038","1916816","Special Projects","1569257433","price_per_load",
"337854","45","28500.00","1569891038","1916804","Special Projects","1569257353","bill_loads","1"
"337854","45","28500.00","1569891038","1916816","Special Projects","1569257433","bill_type","1"
"337854","45","28500.00","1569891038","1916804","Special Projects","1569257353","price_per_load","500.00"
"337854","45","28500.00","1569891038","1935017","Special Projects","1569880791","bill_bbls","1"
"337854","45","28500.00","1569891038","1916804","Special Projects","1569257353","bill_type","1"
"337854","45","28500.00","1569891038","1935017","Special Projects","1569880791","bill_hours","0"
"337854","45","28500.00","1569891038","1916816","Special Projects","1569257433","bill_bbls","1"
"337854","45","28500.00","1569891038","1916816","Special Projects","1569257433","bill_hours","9.5"
"337854","45","28500.00","1569891038","1916804","Special Projects","1569257353","bill_bbls","1"
"337854","45","28500.00","1569891038","1935017","Special Projects","1569880791","truck","3666"
"337854","45","28500.00","1569891038","1916804","Special Projects","1569257353","bill_hours","0"
"337854","45","28500.00","1569891038","1916816","Special Projects","1569257433","truck","3769"
"337854","45","28500.00","1569891038","1935017","Special Projects","1569880791","job_description","1963"
"337854","45","28500.00","1569891038","1916804","Special Projects","1569257353","truck","3666"
"337853","45","22656.50","1569891038","1860923","Special Projects","1567091805","price_per_hour","1.8"
"337853","45","22656.50","1569891038","1896468","Special Projects","1568400633","bill_loads","1"
"337853","45","22656.50","1569891038","1860923","Special Projects","1567091805","price_per_load","1.8"
"337853","45","22656.50","1569891038","1896476","Special Projects","1568400825","bill_bbls","1280"
"337853","45","22656.50","1569891038","1896478","Special Projects","1568400974","truck","3685"
"337853","45","22656.50","1569891038","1883845","Special Projects","1568042429","job_description","1962"
"337853","45","22656.50","1569891038","1883867","Special Projects","1568042543","price_per_bbl","1.8"
"337853","45","22656.50","1569891038","1896471","Special Projects","1568400690","bill_type","1"
"337853","45","22656.50","1569891038","1896476","Special Projects","1568400825","bill_hours","13.5"
"337853","45","22656.50","1569891038","1860923","Special Projects","1567091805","bill_loads","1"
"337853","45","22656.50","1569891038","1865115","Special Projects","1567202245","bill_bbls","0"
"337853","45","22656.50","1569891038","1883831","Special Projects","1568042350","truck","3685"
"337853","45","22656.50","1569891038","1860921","Special Projects","1567091758","price_per_bbl","1.8"
"337853","45","22656.50","1569891038","1860926","Special Projects","1567091853","bill_type","1"
"337853","45","22656.50","1569891038","1865115","Special Projects","1567202245","bill_hours","7.5"
"337853","45","22656.50","1569891038","1883867","Special Projects","1568042543","price_per_hour","1.8"
"337853","45","22656.50","1569891038","1896468","Special Projects","1568400633","price_per_load","125"
"337853","45","22656.50","1569891038","1860921","Special Projects","1567091758","price_per_hour","1.8"
"337853","45","22656.50","1569891038","1883867","Special Projects","1568042543","bill_loads","1"
"337853","45","22656.50","1569891038","1860921","Special Projects","1567091758","price_per_load","1.8"
"337853","45","22656.50","1569891038","1896474","Special Projects","1568400791","bill_bbls","1"
"337853","45","22656.50","1569891038","1896477","Special Projects","1568400886","truck","3685"
"337853","45","22656.50","1569891038","1883837","Special Projects","1568042393","job_description","1962"
"337853","45","22656.50","1569891038","1883857","Special Projects","1568042489","price_per_bbl","1.8"
"337853","45","22656.50","1569891038","1896468","Special Projects","1568400633","bill_type","2"
"337853","45","22656.50","1569891038","1896474","Special Projects","1568400791","bill_hours","8"
"337853","45","22656.50","1569891038","1860921","Special Projects","1567091758","bill_loads","1"
"337853","45","22656.50","1569891038","1860930","Special Projects","1567091945","bill_bbls","0"
"337853","45","22656.50","1569891038","1883820","Special Projects","1568042298","truck","3685"
"337853","45","22656.50","1569891038","1860917","Special Projects","1567091660","price_per_bbl","1.8"
"337853","45","22656.50","1569891038","1860923","Special Projects","1567091805","bill_type","1"
"337853","45","22656.50","1569891038","1860930","Special Projects","1567091945","bill_hours","3"
"337853","45","22656.50","1569891038","1883857","Special Projects","1568042489","price_per_hour","1.8"
"337853","45","22656.50","1569891038","1883867","Special Projects","1568042543","price_per_load","1.8"
"337853","45","22656.50","1569891038","1896478","Special Projects","1568400974","job_description","1962"
"337853","45","22656.50","1569891038","1860917","Special Projects","1567091660","price_per_hour","1.8"
"337853","45","22656.50","1569891038","1883857","Special Projects","1568042489","bill_loads","1"
"337853","45","22656.50","1569891038","1860906","Special Projects","1567091434","price_per_load","1.80"
"337853","45","22656.50","1569891038","1896471","Special Projects","1568400690","bill_bbls","960"
"337853","45","22656.50","1569891038","1896476","Special Projects","1568400825","truck","3685"
"337853","45","22656.50","1569891038","1883831","Special Projects","1568042350","job_description","1962"
"337853","45","22656.50","1569891038","1883852","Special Projects","1568042460","price_per_bbl","1.8"
